time,paternal,maternal
16.0,1,54
16.1,2,55
16.1,3,56
16.1,4,57
16.1,5,58
16.2,6,59
16.2,7,60
16.2,8,61
16.3,9,62
16.7,10,63
16.7,11,64
16.7,12,65
16.7,13,66
17.0,14,67
17.1,15,68
17.1,16,69
17.1,17,70
17.2,18,71
17.3,19,72
17.7,20,73
17.7,21,74
17.7,22,75
17.7,23,76
17.8,24,77
17.8,25,78
17.8,26,79
17.8,27,80
18.0,28,81
18.2,29,82
18.3,30,83
18.4,31,84
18.4,32,85
18.4,33,86
18.7,34,87
18.9,35,88
19.2,36,89
20.0,37,90
20.1,38,91
20.1,39,92
20.2,40,93
20.2,41,94
20.4,42,95
20.8,43,96
20.8,44,97
20.9,45,98
20.9,46,99
20.9,47,100
21.0,48,101
21.0,49,102
21.1,50,103
21.1,51,104
21.1,52,105
21.2,53,106
21.3,54,107
21.3,55,108
21.4,56,109
21.4,57,110
21.6,58,111
21.6,59,112
21.8,60,113
21.9,61,114
21.9,62,115
22.0,63,116
22.1,64,117
22.6,65,118
22.9,66,119
23.2,67,120
23.6,68,121
23.9,69,122
24.2,70,123
24.2,71,124
24.3,72,125
24.4,73,126
24.5,74,127
24.5,75,128
24.8,76,129
24.9,77,130
25.0,78,131
25.4,79,132
25.8,80,133
26.2,81,134
26.4,82,135
26.5,83,136
26.9,84,137
27.5,85,138
27.7,86,139
27.7,87,140
27.9,88,141
28.3,89,142
28.8,90,143
29.2,91,144
29.4,92,145
29.5,93,146
30.0,94,147
30.0,95,148
30.1,96,149
30.8,97,150
31.1,98,151
31.9,99,152
32.4,100,153
32.4,101,154
33.3,102,155
33.7,103,156
33.8,104,157
33.8,105,158
34.0,106,159
34.2,107,160
35.4,108,161
36.3,109,162
37.6,110,163
38.4,111,164
38.4,112,165
38.5,113,166
38.5,114,167
39.1,115,168
41.1,116,169
45.2,117,170
49.4,118,171
53.0,119,172
53.6,120,173
54.7,121,174
63.3,122,175
63.5,123,176
65.8,124,177
66.8,125,178
68.3,126,179
78.4,127,180
79.6,128,181
84.4,129,182
86.2,130,183
87.7,131,184
93.4,132,185
96.6,133,186
102.6,134,187
108.7,135,188
111.8,136,189
112.3,137,190
116.7,138,191
117.6,139,192
122.4,140,193
122.8,141,194
122.8,142,195
125.1,143,196
127.4,144,197
128.1,145,198
132.4,146,199
133.4,147,200
134.0,148,201
138.9,149,202
142.7,150,203
148.2,151,204
149.9,152,205
150.1,153,206
150.4,154,207
153.8,155,208
156.6,156,209
160.7,157,210
161.8,158,211
165.5,159,212
166.6,160,213
172.9,161,214
176.2,162,215
177.1,163,216
178.4,164,217
180.0,165,218
181.8,166,219
183.4,167,220
188.5,168,221
190.8,169,222
191.4,170,223
195.8,171,224
199.0,172,225
201.1,173,226
201.2,174,227
202.5,175,228
203.4,176,229
204.5,177,230
204.7,178,231
208.7,179,232
208.8,180,233
210.4,181,234
211.4,182,235
212.3,183,236
213.5,184,237
213.9,185,238
217.6,186,239
221.0,187,240
221.4,188,241
222.6,189,242
223.3,190,243
223.8,191,244
223.9,192,245
224.1,193,246
224.5,194,247
225.6,195,248
227.5,196,249
228.5,197,250
232.2,198,251
232.4,199,252
234.9,200,253
238.7,201,254
239.2,202,255
240.0,203,256
243.3,204,257
243.9,205,258
244.7,206,259
245.1,207,260
246.1,208,261
248.3,209,262
248.4,210,263
250.0,211,264
250.0,212,265
250.5,213,266
254.2,214,267
256.6,215,268
258.7,216,269
260.7,217,270
261.2,218,271
262.8,219,272
263.2,220,273
263.5,221,274
264.6,222,275
264.9,223,276
265.0,224,277
267.0,225,278
267.1,226,279
269.0,227,280
269.2,228,281
270.8,229,282
271.1,230,283
271.6,231,284
271.6,232,285
272.6,233,286
273.8,234,287
274.6,235,288
276.4,236,289
276.6,237,290
276.8,238,291
278.4,239,292
279.1,240,293
279.3,241,294
279.3,242,295
279.7,243,296
280.8,244,297
281.0,245,298
281.0,246,299
281.8,247,300
281.8,248,301
282.3,249,302
282.7,250,303
282.9,251,304
283.1,252,305
284.1,253,306
285.2,254,307
285.3,255,308
286.1,256,309
287.3,257,310
288.9,258,311
289.8,259,312
291.2,260,313
291.3,261,314
291.7,262,315
292.2,263,316
293.1,264,317
293.7,265,318
294.4,266,319
294.6,267,320
294.7,268,321
294.9,269,322
295.3,270,323
295.4,271,324
295.5,272,325
297.3,273,326
297.7,274,327
297.8,275,328
298.3,276,329
298.5,277,330
298.9,278,331
299.4,279,332
300.3,280,333
300.8,281,334
300.9,282,335
301.3,283,336
301.6,284,337
301.9,285,338
302.5,286,339
302.7,287,340
302.8,288,341
305.7,289,342
306.6,290,343
307.0,291,344
308.2,292,345
309.5,293,346
309.8,294,347
310.1,295,348
311.1,296,349
313.5,297,350
313.7,298,351
314.6,299,352
315.4,300,353
315.6,301,354
316.5,302,355
319.3,303,356
321.2,304,357
321.4,305,358
322.5,306,359
322.7,307,360
322.8,308,361
323.0,309,362
323.4,310,363
324.1,311,364
324.5,312,365
324.6,313,366
325.5,314,367
326.1,315,368
326.3,316,369
327.0,317,370
327.2,318,371
328.5,319,372
328.8,320,373
329.1,321,374
329.4,322,375
329.6,323,376
329.7,324,377
329.8,325,378
330.0,326,379
330.8,327,380
331.5,328,381
331.6,329,382
332.0,330,383
332.2,331,384
332.2,332,385
332.7,333,386
333.6,334,387
334.0,335,388
334.5,336,389
335.1,337,390
335.5,338,391
335.6,339,392
335.8,340,393
336.2,341,394
336.7,342,395
336.8,343,396
337.3,344,397
337.9,345,398
338.1,346,399
338.9,347,400
339.0,348,401
339.7,349,402
340.0,350,403
340.4,351,404
340.6,352,405
341.5,353,406
341.6,354,407
341.7,355,408
342.3,356,409
342.8,357,410
343.2,358,411
344.0,359,412
344.2,360,413
344.9,361,414
345.3,362,415
345.3,363,416
345.3,364,417
345.6,365,418
346.1,366,419
346.5,367,420
346.6,368,421
346.8,369,422
347.3,370,423
348.4,371,424
348.7,372,425
349.3,373,426
349.4,374,427
349.4,375,428
350.2,376,429
350.5,377,430
350.7,378,431
351.1,379,432
351.1,380,433
351.7,381,434
352.0,382,435
352.4,383,436
352.5,384,437
352.7,385,438
353.5,386,439
353.6,387,440
353.9,388,441
354.2,389,442
355.2,390,443
355.5,391,444
355.5,392,445
356.8,393,446
357.0,394,447
357.1,395,448
357.2,396,449
357.3,397,450
358.0,398,451
358.3,399,452
358.6,400,453
359.6,401,454
359.8,402,455
360.0,403,456
360.1,404,457
360.8,405,458
361.0,406,459
361.1,407,460
361.8,408,461
362.5,409,462
362.8,410,463
362.8,411,464
362.8,412,465
363.0,413,466
364.1,414,467
365.0,415,468
365.0,416,469
365.0,417,470
365.1,418,471
365.6,419,472
366.3,420,473
366.4,421,474
366.5,422,475
366.6,423,476
367.1,424,477
367.2,425,478
367.6,426,479
367.7,427,480
368.6,428,481
368.9,429,482
369.2,430,483
369.2,431,484
369.4,432,485
369.7,433,486
370.1,434,487
370.2,435,488
370.2,436,489
370.4,437,490
370.5,438,491
370.6,439,492
371.5,440,493
371.6,441,494
371.8,442,495
372.0,443,496
372.2,444,497
372.5,445,498
373.8,446,499
373.9,447,500
374.1,448,501
374.9,449,502
375.0,450,503
375.1,451,504
375.4,452,505
375.7,453,506
375.8,454,507
375.9,455,508
